"1k-blocks","filesystem","date","hour","mean_usage"
20268880,"/dev/sdb",2018-09-05 12:00:00,12,52.6093139988846
20268880,"/dev/sdb",2018-09-05 13:00:00,13,53
20268880,"/dev/sdb",2018-09-05 14:00:00,14,53.0200780814278
20268880,"/dev/sdb",2018-09-05 15:00:00,15,54
20268880,"/dev/sdb",2018-09-05 16:00:00,16,54
20268880,"/dev/sdb",2018-09-05 17:00:00,17,54.431121026213
20268880,"/dev/sdb",2018-09-05 18:00:00,18,55
20268880,"/dev/sdb",2018-09-05 19:00:00,19,55
20268880,"/dev/sdb",2018-09-05 20:00:00,20,55.8418851087563
20268880,"/dev/sdb",2018-09-05 21:00:00,21,56
20268880,"/dev/sdb",2018-09-05 22:00:00,22,47.0376464026771
20268880,"/dev/sdb",2018-09-05 23:00:00,23,47.6681539319576
20268880,"/dev/sdb",2018-09-06 00:00:00,0,48
20268880,"/dev/sdb",2018-09-06 01:00:00,1,48.0789180145008
20268880,"/dev/sdb",2018-09-06 02:00:00,2,49
20268880,"/dev/sdb",2018-09-06 03:00:00,3,49
20268880,"/dev/sdb",2018-09-06 04:00:00,4,49.4892667967661
20268880,"/dev/sdb",2018-09-06 05:00:00,5,50
20268880,"/dev/sdb",2018-09-06 06:00:00,6,50
20268880,"/dev/sdb",2018-09-06 07:00:00,7,50.8165597992752
20268880,"/dev/sdb",2018-09-06 08:00:00,8,51
20268880,"/dev/sdb",2018-09-06 09:00:00,9,51.3108447170337
20268880,"/dev/sdb",2018-09-06 10:00:00,10,52
20268880,"/dev/sdb",2018-09-06 11:00:00,11,52
20268880,"/dev/sdb",2018-09-06 12:00:00,12,52.638036809816
20268880,"/dev/sdb",2018-09-06 13:00:00,13,53
20268880,"/dev/sdb",2018-09-06 14:00:00,14,53.1321807027329
20268880,"/dev/sdb",2018-09-06 15:00:00,15,54
20268880,"/dev/sdb",2018-09-06 16:00:00,16,54
20268880,"/dev/sdb",2018-09-06 17:00:00,17,54.3117897727273
154696528,"/dev/sdb",2018-09-06 18:00:00,18,7
154696528,"/dev/sdb",2018-09-06 19:00:00,19,8.4873595505618
